מספר קלפי,שם ישוב,כתובת,מצביעים,כשרים,אמת,ג,ד,ה,ו,ז,זה,זך,חץ,טב,יש,כ,כן,כץ,ל,מחל,מרצ,נץ,עם,פ,פז,פכ,פץ,ף,צה,ק,קז,קנ,קפ,רק,שס
1280,מעטפות כפולות,,1200,1181,132,93,2,1,8,0,1,55,3,191,2,19,245,0,66,99,71,2,2,17,0,1,0,0,1,1,0,40,0,35,94
1290,מעטפות כפולות,,1200,1175,154,22,4,1,11,2,8,48,6,87,3,13,252,3,155,128,66,3,8,12,1,3,1,0,0,1,1,53,1,51,77
1300,מעטפות כפולות,,1165,1152,179,41,2,2,6,1,4,61,5,161,1,26,240,0,77,106,47,5,7,5,1,0,0,0,0,1,0,45,0,25,104
1310,מעטפות כפולות,,1193,1178,160,15,2,0,5,2,0,54,7,124,1,12,302,1,92,109,65,2,4,7,0,0,1,0,1,2,1,73,0,46,90
1320,מעטפות כפולות,,1196,1159,131,11,7,0,5,0,9,46,6,154,2,19,248,1,109,125,43,2,8,11,2,0,1,1,1,2,2,66,0,47,100
1330,מעטפות כפולות,,1200,1176,174,11,11,0,15,1,1,59,7,107,3,14,304,2,90,130,62,4,14,13,4,0,0,1,0,3,2,45,0,39,60
1340,מעטפות כפולות,,1204,1187,151,9,3,2,2,3,9,41,1,119,2,11,326,2,106,139,57,1,2,13,0,1,1,0,1,0,1,67,0,53,64
1350,מעטפות כפולות,,1171,1145,159,17,3,0,1,1,4,50,6,94,3,10,281,1,94,130,49,2,2,7,1,1,3,0,1,2,1,87,0,53,82
1360,מעטפות כפולות,,1201,1182,179,45,3,1,6,0,2,92,3,129,1,12,265,1,77,119,47,1,4,11,1,0,0,0,1,1,1,35,1,32,112
1370,מעטפות כפולות,,1223,1204,160,43,1,1,3,0,2,74,5,136,9,16,275,0,110,93,55,2,2,11,0,1,2,0,0,1,0,36,0,50,116
1380,מעטפות כפולות,,1202,1181,172,33,3,0,2,1,2,67,3,105,1,14,283,0,77,115,77,3,4,6,0,0,2,3,0,1,2,66,1,51,87
1390,מעטפות כפולות,,1217,1205,146,153,9,1,19,0,6,75,2,138,3,8,191,0,79,100,32,1,19,8,0,0,2,1,0,0,2,62,0,33,115
1400,מעטפות כפולות,,1205,1167,214,11,13,0,6,0,2,37,5,105,6,9,352,1,89,107,46,3,12,10,0,0,2,0,1,1,1,46,0,31,57
1410,מעטפות כפולות,,1154,1136,177,10,4,1,11,1,4,50,7,92,1,10,284,1,92,117,67,1,5,5,1,2,1,0,0,2,1,56,1,46,86
1420,מעטפות כפולות,,1191,1168,165,14,16,2,11,1,4,65,2,109,3,16,278,0,112,126,51,2,7,3,2,2,0,0,1,1,2,57,1,32,83
1430,מעטפות כפולות,,1221,1201,142,12,19,0,4,1,2,63,3,88,6,4,263,1,122,119,65,3,38,21,1,0,0,0,0,4,1,83,0,50,86
1440,מעטפות כפולות,,1193,1177,175,10,2,1,5,0,4,36,5,93,4,16,299,1,87,122,80,3,7,17,0,1,0,1,0,0,0,72,2,69,65
1450,מעטפות כפולות,,1200,1176,169,10,3,0,10,1,11,60,6,133,3,8,266,1,112,123,58,4,13,13,0,1,1,0,2,1,2,43,1,41,80
1460,מעטפות כפולות,,1218,1199,154,9,4,2,1,3,12,35,4,127,1,14,292,0,104,130,76,1,1,3,0,1,1,0,0,1,0,85,0,38,100
1470,מעטפות כפולות,,1186,1172,160,29,9,1,9,0,12,59,4,103,4,10,277,0,95,115,64,5,17,6,0,1,2,0,0,2,2,58,0,43,85
1480,מעטפות כפולות,,1183,1147,158,20,2,1,0,0,9,39,8,130,5,14,264,2,99,119,55,1,5,11,0,4,3,0,2,4,1,55,0,53,83
1490,מעטפות כפולות,,1177,1164,170,23,2,1,3,0,7,54,9,122,3,16,276,0,88,128,74,4,4,16,3,0,0,0,1,1,1,48,0,36,74
1500,מעטפות כפולות,,1186,1166,163,20,1,0,7,1,3,51,10,131,7,11,274,0,88,133,64,1,3,9,0,4,0,0,0,4,0,66,0,39,76
1510,מעטפות כפולות,,1197,1184,134,42,3,0,7,0,5,45,2,218,1,15,228,1,83,111,67,2,5,7,1,1,0,0,0,1,0,59,0,32,114
1520,מעטפות כפולות,,1201,1175,142,21,13,0,27,0,3,32,6,96,3,14,292,1,74,128,64,1,18,16,1,1,3,1,0,2,0,97,3,38,78
1530,מעטפות כפולות,,1205,1182,181,18,1,0,2,3,9,49,4,102,4,9,275,1,116,111,65,2,1,10,1,1,1,2,0,0,0,79,1,49,85
1540,מעטפות כפולות,,1196,1181,146,3,0,1,1,0,5,45,7,110,4,9,293,2,121,140,61,1,0,10,1,1,3,0,0,2,0,84,0,54,77
1550,מעטפות כפולות,,1200,1174,161,13,3,1,2,3,8,44,5,103,3,12,284,1,92,145,57,5,5,10,1,1,2,0,0,0,0,94,0,57,62
1560,מעטפות כפולות,,1200,1173,162,13,3,1,6,0,5,73,4,135,3,20,261,0,108,106,72,5,7,8,0,0,1,1,1,1,2,37,0,35,103
1570,מעטפות כפולות,,1200,1190,159,61,8,0,14,0,2,70,11,122,2,22,243,0,120,107,59,1,20,14,0,0,1,0,1,0,1,37,1,37,77
1580,מעטפות כפולות,,1193,1158,191,5,0,0,4,0,6,30,4,85,4,3,384,1,70,100,85,1,4,14,0,2,2,0,0,0,0,68,0,49,46
1590,מעטפות כפולות,,1217,1186,170,9,4,0,3,0,2,54,4,118,3,19,303,2,91,126,72,3,4,9,1,0,1,1,0,2,0,63,0,52,70
1600,מעטפות כפולות,,1205,1187,162,89,6,2,7,1,6,48,3,124,4,11,224,1,96,108,36,2,11,12,1,1,3,0,3,1,3,38,5,33,146
1610,מעטפות כפולות,,1213,1197,142,134,8,0,11,3,7,44,5,116,1,12,265,1,80,103,34,0,3,10,1,0,1,0,0,0,2,45,1,24,144
1620,מעטפות כפולות,,1191,1174,107,95,8,0,5,2,17,45,3,127,3,17,241,0,98,114,40,2,9,9,1,1,0,0,1,0,3,63,0,44,119
1630,מעטפות כפולות,,1200,1184,178,30,0,0,4,1,6,86,3,125,1,16,281,0,71,123,47,0,5,9,1,0,2,0,0,2,0,51,2,40,100
1640,מעטפות כפולות,,1200,1173,148,21,0,0,3,0,3,57,4,133,3,10,282,0,82,168,59,3,3,8,0,0,2,0,0,0,0,73,0,42,69
1650,מעטפות כפולות,,1210,1182,154,27,7,0,13,0,17,58,5,158,4,13,213,2,95,121,42,2,9,6,1,0,1,0,0,2,3,38,0,42,149
1660,מעטפות כפולות,,1202,1177,129,31,9,2,11,1,8,50,6,168,4,19,244,2,85,86,49,3,9,8,3,0,0,0,1,4,0,83,1,56,105
1670,מעטפות כפולות,,1202,1169,156,24,1,0,6,0,6,45,6,118,3,13,287,0,100,121,44,4,3,9,0,2,1,2,0,0,1,73,1,40,103
1680,מעטפות כפולות,,1203,1181,154,14,5,0,3,1,4,67,5,96,1,11,290,1,98,120,72,1,9,10,0,1,2,0,0,2,2,70,0,54,88
1690,מעטפות כפולות,,1200,1180,164,16,24,0,15,2,11,77,8,115,4,12,267,0,87,132,73,0,16,11,0,1,1,0,0,3,0,31,0,51,59
1700,מעטפות כפולות,,1192,1172,134,24,3,0,2,0,7,40,5,121,6,19,254,0,115,125,95,4,2,12,0,2,0,0,0,1,0,70,0,54,77
1710,מעטפות כפולות,,1200,1172,141,74,3,0,1,1,4,70,5,140,1,15,245,0,111,116,50,0,0,3,0,0,1,0,0,1,3,50,0,36,101
1720,מעטפות כפולות,,1207,1188,149,70,6,0,5,0,6,53,9,106,3,11,273,0,109,129,57,0,1,3,1,1,1,0,0,0,0,41,1,45,108
1730,מעטפות כפולות,,1200,1180,145,38,9,1,3,0,7,51,5,133,6,17,254,3,114,105,61,3,14,15,0,0,0,0,1,1,0,56,2,42,94
1740,מעטפות כפולות,,1179,1161,163,78,6,2,2,1,9,59,5,118,3,17,224,0,96,106,50,2,6,3,0,4,2,0,1,1,1,69,0,45,88
1750,מעטפות כפולות,,1207,1185,176,30,5,1,6,0,1,70,5,100,3,6,239,1,121,129,57,3,9,11,0,1,6,0,0,2,3,76,1,39,84
1760,מעטפות כפולות,,1200,1178,139,86,2,0,7,0,4,62,6,104,1,13,233,0,105,120,59,4,0,15,0,1,1,0,0,2,0,57,0,51,106
1770,מעטפות כפולות,,1200,1166,150,31,2,1,5,0,0,52,4,128,3,15,254,1,113,139,54,3,8,9,0,0,0,2,1,3,1,74,1,37,75
1780,מעטפות כפולות,,1195,1169,150,32,3,1,6,0,7,57,0,103,4,12,297,4,116,110,65,1,5,8,0,0,1,1,0,0,0,69,0,50,67
1790,מעטפות כפולות,,1189,1164,151,9,3,1,4,0,3,36,5,129,1,13,271,0,91,105,74,7,18,10,1,1,0,1,0,2,3,67,1,50,107
1800,מעטפות כפולות,,1180,1157,144,13,2,1,3,3,8,41,4,180,3,23,250,0,94,112,48,4,1,12,1,0,0,0,0,0,0,68,0,43,99
1810,מעטפות כפולות,,1187,1165,164,11,1,0,3,2,5,47,9,92,4,9,293,1,109,131,61,4,3,10,0,1,0,0,1,2,1,79,0,55,67
1820,מעטפות כפולות,,1202,1185,135,6,2,0,6,2,9,60,10,97,3,6,322,1,137,140,67,2,0,7,0,1,3,0,0,0,1,49,1,61,57
1830,מעטפות כפולות,,1203,1178,146,9,0,1,1,1,11,33,2,106,2,13,306,0,120,105,55,3,2,12,1,0,2,2,0,3,2,99,1,48,92
1840,מעטפות כפולות,,1199,1176,165,22,25,2,22,0,10,51,6,96,4,9,283,2,145,95,29,1,16,12,1,1,3,1,1,3,2,44,1,26,98
1850,מעטפות כפולות,,1190,1159,147,27,5,2,6,2,4,62,8,107,1,8,281,0,92,125,43,2,11,7,0,1,2,0,0,1,0,61,1,53,100
1860,מעטפות כפולות,,1201,1193,166,96,7,1,6,1,8,41,2,204,2,30,208,1,93,101,37,1,2,7,1,1,0,0,0,0,2,21,0,26,128
1870,מעטפות כפולות,,1161,1139,157,13,2,0,1,1,6,33,5,99,2,11,282,3,113,117,69,2,2,8,0,1,0,0,1,1,0,82,0,58,70
1880,מעטפות כפולות,,1190,1178,161,37,4,1,4,0,6,72,5,106,3,27,243,0,99,107,59,2,15,7,1,1,2,1,1,0,2,67,3,31,111
1890,מעטפות כפולות,,1200,1182,141,43,7,0,18,0,6,67,6,147,3,16,224,0,99,119,57,0,16,6,0,0,0,0,3,2,0,27,1,44,130
1900,מעטפות כפולות,,1207,1189,156,15,1,0,5,1,8,46,9,135,4,15,260,0,111,124,57,3,3,14,0,0,1,1,1,2,0,72,0,51,94
1910,מעטפות כפולות,,1193,1170,138,10,2,0,3,1,3,48,4,104,0,9,325,0,101,140,46,1,1,14,1,0,4,1,0,0,2,67,1,62,82
1920,מעטפות כפולות,,1200,1180,182,25,5,0,3,0,7,85,1,105,2,18,287,2,78,134,48,2,6,6,0,0,4,0,1,3,2,42,1,52,79
1930,מעטפות כפולות,,1210,1193,168,12,4,1,2,0,4,71,4,101,2,16,295,1,121,134,55,1,3,10,1,0,0,1,0,3,1,56,0,36,90
1940,מעטפות כפולות,,1174,1157,158,1,6,1,11,3,8,65,5,118,3,21,253,0,121,118,62,4,20,11,0,3,0,0,0,3,1,53,0,50,58
1950,מעטפות כפולות,,1207,1197,152,55,8,0,4,1,2,52,9,146,2,5,257,0,126,106,45,2,12,13,1,0,1,0,0,4,2,61,0,49,82
1960,מעטפות כפולות,,1190,1171,156,7,6,1,10,0,12,70,8,96,5,22,245,0,123,102,59,2,6,11,2,0,1,0,0,2,1,92,0,50,82
1970,מעטפות כפולות,,1205,1188,155,13,3,0,1,0,8,60,7,157,2,12,277,0,85,127,77,2,0,7,0,1,2,0,0,1,0,53,1,28,109
1980,מעטפות כפולות,,1211,1197,198,5,14,1,2,0,5,54,5,111,2,17,301,0,83,120,50,1,26,7,0,1,3,0,0,1,0,69,1,48,72
1990,מעטפות כפולות,,1203,1188,162,8,5,5,7,1,3,44,3,148,2,14,301,1,97,115,63,0,5,22,0,0,0,0,0,1,1,58,1,39,82
2000,מעטפות כפולות,,1193,1169,143,27,4,1,2,1,10,49,6,157,1,23,247,0,90,126,63,5,12,12,1,2,0,0,1,2,0,55,0,46,83
2010,מעטפות כפולות,,1201,1173,151,7,11,0,8,1,7,55,4,111,3,18,281,1,111,128,68,2,11,6,0,0,3,1,1,0,0,55,0,48,81
2020,מעטפות כפולות,,1193,1167,143,38,5,0,6,0,5,33,2,122,3,18,258,2,86,126,44,1,20,8,0,3,3,0,0,0,1,59,5,38,138
2030,מעטפות כפולות,,1202,1190,148,15,1,4,3,0,3,54,5,97,3,13,320,0,104,113,69,4,5,12,0,3,3,0,1,1,0,63,0,49,97
2040,מעטפות כפולות,,1190,1171,141,12,3,0,2,1,6,48,7,136,3,15,263,0,85,133,66,4,3,8,2,2,2,0,2,0,0,65,1,53,108
2050,מעטפות כפולות,,1212,1189,169,28,2,0,3,7,0,72,7,120,4,14,276,0,96,104,54,2,4,12,1,0,0,0,1,2,0,79,1,47,84
2060,מעטפות כפולות,,1200,1191,161,11,2,0,1,0,8,40,6,136,3,23,255,0,106,131,52,3,5,8,1,1,0,0,0,1,3,74,0,54,106
2070,מעטפות כפולות,,1162,1147,181,30,1,1,2,0,5,49,4,105,3,6,256,0,90,135,57,3,3,12,2,3,1,0,0,3,0,83,0,43,69
2080,מעטפות כפולות,,1202,1183,166,98,5,1,6,0,3,60,8,118,0,12,238,1,80,124,47,3,8,9,0,0,0,0,1,3,0,24,1,41,126
2090,מעטפות כפולות,,1188,1168,171,9,8,1,15,0,3,58,5,103,3,10,292,2,112,123,53,2,5,16,0,0,0,0,0,0,2,50,1,52,72
2100,מעטפות כפולות,,1187,1136,195,22,4,1,4,0,5,45,6,99,3,12,359,1,64,94,77,1,3,11,1,0,0,0,2,1,4,34,0,29,59
2110,מעטפות כפולות,,1200,1190,149,11,10,0,13,3,10,75,3,167,2,11,265,2,63,138,61,1,19,11,0,2,1,1,1,0,1,54,0,44,72
2120,מעטפות כפולות,,1204,1191,152,15,3,0,4,2,6,52,10,153,3,18,239,1,123,136,57,4,3,9,0,1,1,0,0,2,1,66,2,37,91
2130,מעטפות כפולות,,1198,1181,144,60,3,2,6,0,4,54,8,102,3,12,269,1,106,136,46,3,1,7,0,0,1,1,0,0,1,53,1,50,107
2140,מעטפות כפולות,,1200,1188,202,10,4,0,3,0,5,72,5,102,1,17,287,1,90,128,62,2,10,9,1,0,0,0,0,0,2,50,1,39,85
2150,מעטפות כפולות,,1200,1176,152,9,26,0,42,1,6,50,4,105,2,13,257,0,97,119,60,3,27,6,0,3,0,0,0,2,0,53,1,38,100
2160,מעטפות כפולות,,1201,1187,159,28,0,0,4,2,4,58,7,88,6,18,269,0,110,133,76,2,1,6,0,1,1,0,0,0,0,63,1,70,80
2170,מעטפות כפולות,,1201,1179,155,7,5,0,3,0,2,48,2,135,3,10,248,1,117,134,66,2,5,10,0,2,1,2,2,2,2,69,1,58,87
2180,מעטפות כפולות,,995,988,125,20,11,1,7,0,3,38,2,76,8,12,248,0,79,96,63,1,12,14,0,0,0,1,1,2,1,59,2,34,72
2190,מעטפות כפולות,,1191,1169,140,9,1,1,4,1,4,63,6,100,2,13,307,0,101,126,58,2,1,10,0,1,0,0,0,1,4,58,1,54,101
2200,מעטפות כפולות,,1200,1181,160,5,0,1,0,1,9,33,4,150,3,14,305,0,118,111,59,2,2,15,0,0,2,1,1,0,1,63,1,48,72
2210,מעטפות כפולות,,1204,1184,161,15,9,0,9,0,6,37,6,150,3,8,227,0,116,122,61,1,17,11,3,0,2,0,0,5,4,57,2,38,114
2220,מעטפות כפולות,,605,596,86,11,1,0,2,0,3,40,0,71,2,6,158,1,49,59,25,2,0,6,0,2,0,0,0,0,2,27,0,14,29
2230,מעטפות כפולות,,604,589,78,4,7,0,1,0,2,24,4,50,2,5,145,0,56,67,36,0,6,9,0,0,0,0,0,0,2,32,0,25,34
2240,מעטפות כפולות,,807,789,104,3,0,0,0,0,3,36,2,71,1,3,255,0,55,72,51,1,0,14,0,0,1,0,1,0,1,40,0,35,40
2250,מעטפות כפולות,,602,591,96,8,1,2,0,2,4,29,2,51,1,5,151,0,46,66,26,2,1,7,0,1,2,0,1,0,2,22,0,22,41
2260,מעטפות כפולות,,578,546,68,5,3,0,3,0,2,22,1,38,1,2,177,0,46,55,37,0,8,3,0,0,0,1,0,0,0,18,0,28,28
2270,מעטפות כפולות,,1205,1188,147,13,2,1,2,1,3,55,5,102,2,6,346,1,104,126,69,0,2,8,0,3,0,1,2,0,0,64,0,50,73
2280,מעטפות כפולות,,1203,1189,194,2,2,0,7,0,2,50,3,104,4,26,340,0,81,107,74,4,2,18,0,0,2,0,0,1,2,57,0,38,69
2290,מעטפות כפולות,,1200,1179,184,4,7,1,5,0,1,90,3,114,1,8,291,0,78,118,69,2,18,6,0,0,2,0,0,1,2,56,0,47,71
2300,מעטפות כפולות,,1202,1186,157,10,2,0,6,0,5,65,7,121,4,13,265,0,105,128,72,1,9,7,0,0,0,0,1,1,0,69,1,40,97
2310,מעטפות כפולות,,1201,1183,181,13,2,0,5,0,5,56,8,107,3,9,300,0,119,120,50,2,11,10,2,0,1,0,0,3,1,53,0,43,79
2320,מעטפות כפולות,,1202,1178,185,37,4,2,4,2,2,63,2,106,3,7,234,0,109,127,73,1,3,5,1,0,2,1,4,2,1,53,0,28,117
2330,מעטפות כפולות,,1209,1191,150,69,5,0,7,0,12,40,4,142,1,16,280,0,106,107,49,2,6,14,1,0,2,0,1,1,1,70,0,35,70
2340,מעטפות כפולות,,1201,1177,154,11,7,1,9,0,7,58,8,128,3,13,272,0,107,113,65,1,10,9,0,1,2,0,0,0,0,55,0,34,109
2350,מעטפות כפולות,,1203,1189,162,17,2,0,5,0,3,43,4,174,4,16,306,0,94,114,78,2,2,11,0,1,0,0,0,1,0,39,0,38,73
2360,מעטפות כפולות,,1175,1113,157,32,4,0,4,1,4,35,5,111,3,5,273,0,109,103,59,1,7,8,0,0,0,0,2,3,1,61,0,48,77
2370,מעטפות כפולות,,1203,1189,174,9,3,0,10,0,6,57,3,137,4,19,313,0,68,125,58,3,7,14,1,0,0,0,2,2,0,54,1,46,73
2380,מעטפות כפולות,,476,468,66,8,3,0,3,0,4,22,4,45,0,4,111,0,37,46,23,2,0,5,0,0,1,0,0,0,0,35,0,21,28
2390,מעטפות כפולות,,1201,1177,153,67,6,3,2,0,7,47,7,98,2,14,292,1,88,118,59,5,19,10,1,1,0,0,1,0,1,59,0,38,78
2400,מעטפות כפולות,,1200,1177,173,11,1,0,6,0,8,44,9,119,5,16,285,0,107,119,76,1,1,12,1,4,0,0,0,2,0,74,1,44,58
2410,מעטפות כפולות,,1190,1169,163,46,7,0,6,0,8,48,8,123,8,12,267,0,96,125,57,0,4,9,0,1,0,1,0,0,0,75,0,35,70
2420,מעטפות כפולות,,1203,1173,177,28,3,1,2,4,2,40,3,97,4,5,363,0,98,112,62,1,0,14,0,0,0,0,0,0,0,52,0,42,63
2430,מעטפות כפולות,,1202,1176,174,11,1,0,4,3,7,56,8,127,3,5,261,1,102,124,58,1,7,22,0,1,1,0,1,2,0,63,0,62,71
2440,מעטפות כפולות,,1190,1179,153,40,13,0,16,0,5,66,8,196,3,18,219,0,88,91,51,0,17,8,1,4,1,0,0,1,0,45,0,34,101
2450,מעטפות כפולות,,1204,1202,189,17,3,1,4,3,1,65,5,121,0,14,325,1,74,115,70,3,3,6,0,2,3,0,0,2,2,56,0,50,67
2470,מעטפות כפולות,,1222,1201,184,20,6,0,6,1,3,64,5,114,6,13,306,1,67,108,70,5,5,13,0,1,1,0,1,0,0,104,0,40,57
2480,מעטפות כפולות,,1191,1174,165,12,4,3,3,0,6,55,7,133,2,7,270,1,90,131,62,1,8,13,0,0,1,1,0,3,2,69,0,47,78
2490,מעטפות כפולות,,1196,1183,160,71,1,0,3,0,4,64,5,95,3,17,290,0,74,120,64,2,2,7,1,2,0,0,0,0,0,44,0,40,114
2500,מעטפות כפולות,,1220,1190,141,17,11,3,8,1,6,51,3,120,6,12,288,2,100,133,47,2,8,14,1,2,1,1,0,4,0,62,0,40,106
10,שחר,שחר,238,238,65,3,0,0,0,0,0,9,0,5,0,0,82,0,6,29,8,0,0,0,0,0,1,0,0,1,1,1,0,1,26
10,תירוש,תירוש,180,176,10,0,0,0,0,0,0,2,0,31,0,0,6,0,3,26,0,0,0,1,0,0,0,0,0,0,0,1,0,0,96
10,''ניר ח''''ן'',''ניר ח''''ן'',173,173,62,1,0,0,0,0,0,14,1,6,0,0,42,0,7,25,7,0,0,0,0,0,0,0,0,0,0,3,0,3,2
10,חצבה,חצבה,300,298,53,0,0,0,0,0,1,24,0,14,1,1,111,0,18,9,27,0,0,11,0,0,2,0,0,1,0,6,0,14,5
10,נועם,נועם,189,188,17,6,0,0,0,0,0,3,0,25,0,0,18,0,9,37,0,1,0,0,0,0,0,0,0,0,0,1,0,0,71
10,בית ניר,בית ניר,169,169,44,0,0,0,0,0,0,5,0,1,0,0,35,0,0,0,76,0,0,0,0,0,0,0,0,0,0,5,0,2,1
10,שדה משה,שדה משה,199,199,53,1,1,0,0,0,0,17,1,2,0,0,68,0,12,15,13,0,0,4,0,0,1,0,0,0,0,4,0,4,3
10,מקווה ישראל,מקווה ישראל,130,128,37,1,0,0,1,0,0,13,0,22,0,0,25,0,6,6,11,1,0,0,0,0,0,0,0,0,0,3,0,0,2
10,אמציה,אמציה,76,76,6,0,0,0,0,0,0,15,0,0,0,0,26,0,5,11,8,0,0,0,0,0,0,0,0,0,0,1,0,4,0
10,לכיש,לכיש,304,303,129,0,1,0,0,0,0,10,2,5,0,0,91,0,6,12,37,1,0,4,0,0,0,0,0,1,0,0,0,3,1
10,ראש פינה,מעלה גיא אוני,395,395,130,0,2,0,4,0,1,34,0,15,1,0,96,0,9,16,48,0,0,3,0,0,0,0,0,0,0,24,0,8,4
20,ראש פינה,מעלה גיא אוני,420,419,126,4,0,0,1,0,0,22,0,32,0,9,114,0,11,21,41,0,0,6,0,0,0,0,0,1,0,11,0,10,10
30,ראש פינה,מעלה גיא אוני,413,413,110,3,0,0,0,0,0,36,1,23,0,2,140,0,15,32,19,1,0,2,0,0,1,0,0,0,0,7,0,7,14
10,שדות מיכה,שדות מיכה,141,139,47,0,0,0,0,0,0,1,0,3,1,1,13,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
10,מזכרת בתיה,רוטשילד          51,388,383,83,0,0,0,0,0,0,34,0,22,1,1,138,0,4,45,13,0,0,4,0,1,0,0,0,0,0,1,0,5,31
20,מזכרת בתיה,רוטשילד          51,372,363,47,0,0,0,0,0,0,28,0,11,0,2,157,0,46,32,18,0,0,5,0,0,0,0,0,0,0,7,0,4,6
30,מזכרת בתיה,רוטשילד          51,330,328,72,2,0,0,1,0,3,30,2,19,1,0,102,0,17,33,10,0,1,4,0,0,0,0,1,1,0,3,0,7,19
40,מזכרת בתיה,רוטשילד          51,565,561,128,0,0,0,0,0,0,67,2,25,0,2,189,1,12,52,45,0,0,9,0,2,0,0,0,0,0,7,0,14,6
