סמל ישוב,סמל קלפי,בוחרים,מצביעים,פסולים,כשרים,שם ישוב,אמת,ב,ג,ד,ו,ז,זך,זנ,ט,יש,כן,ל,ם,מחל,מרצ,נ,נץ,עם,ף,פה,צ,צף,ק,קך,קנ,קץ,רק,שס
9000,2260,476,328,3,325,באר שבע,38,11,0,0,0,0,0,0,0,37,5,30,7,147,4,0,2,0,0,0,0,0,0,0,4,0,2,38
9000,2270,711,458,13,445,באר שבע,19,8,0,0,0,4,0,0,0,78,23,64,7,198,3,1,1,0,0,0,0,0,0,0,7,0,0,32
9000,2300,756,443,9,434,באר שבע,51,5,5,0,3,1,0,0,0,82,24,59,9,136,9,0,3,1,1,0,0,0,0,0,0,0,2,43
9000,2320,586,356,2,354,באר שבע,40,8,2,0,0,1,0,0,0,77,21,32,7,132,13,0,1,0,0,0,0,0,0,0,1,0,0,19
9000,2330,500,306,4,302,באר שבע,37,8,1,0,1,1,0,3,0,30,6,18,12,146,11,0,2,0,0,0,0,0,0,0,2,0,0,24
9000,2340,627,412,4,408,באר שבע,44,9,0,0,0,1,0,2,0,74,20,36,11,163,17,1,1,1,0,0,0,0,0,0,2,1,3,22
9000,2350,638,360,16,344,באר שבע,29,4,2,1,1,1,0,0,0,77,31,76,4,83,7,1,3,0,0,4,1,1,1,0,2,0,0,15
9000,2360,582,367,4,363,באר שבע,29,9,1,0,0,0,0,0,0,83,16,42,13,123,18,1,5,0,0,0,1,0,0,0,2,0,1,19
9000,2370,699,395,10,385,באר שבע,40,13,4,0,0,0,0,1,0,57,11,39,15,151,6,0,3,0,1,1,1,0,0,0,1,0,2,39
9000,2380,819,486,8,478,באר שבע,62,9,0,0,1,0,0,1,0,71,11,39,18,198,17,4,3,0,0,1,1,0,0,0,5,1,0,36
9000,2390,638,408,10,398,באר שבע,39,6,1,0,0,0,0,0,0,76,14,45,12,150,9,3,2,1,0,0,1,0,0,0,3,0,0,36
9000,2400,595,387,14,373,באר שבע,31,4,0,0,0,0,0,0,0,92,36,43,10,115,8,2,4,1,0,1,0,0,1,0,3,0,0,22
9000,2410,510,328,9,319,באר שבע,30,15,4,0,0,0,0,1,0,33,8,26,15,134,6,0,0,0,0,0,1,0,0,0,3,0,0,43
9000,2430,576,352,10,342,באר שבע,19,5,5,0,0,0,0,0,0,59,15,57,24,127,5,0,3,1,0,1,0,0,0,0,0,0,0,21
9000,2460,719,536,2,534,באר שבע,66,32,1,0,2,0,0,2,0,70,5,13,18,250,6,2,1,0,0,0,2,0,0,0,11,0,1,52
9000,2480,775,542,10,532,באר שבע,70,12,6,0,3,0,0,2,0,84,19,42,38,193,19,1,2,0,0,1,1,0,0,1,7,0,0,31
9000,2500,522,276,6,270,באר שבע,14,7,1,0,1,0,0,0,0,43,12,36,8,96,4,0,1,0,0,0,0,0,0,0,0,0,2,45
9000,2510,523,333,2,331,באר שבע,16,6,2,0,0,1,0,0,0,67,15,14,4,135,7,0,2,1,0,0,0,0,0,0,2,0,2,57
9000,2520,483,319,8,311,באר שבע,44,4,4,1,0,0,0,0,0,53,9,30,6,112,12,0,2,1,0,0,0,0,0,0,0,0,0,33
9000,2600,492,350,0,350,באר שבע,43,14,0,0,0,1,0,1,0,48,4,13,5,163,18,1,0,1,0,0,0,0,0,0,4,0,1,33
9000,2610,741,509,9,500,באר שבע,67,14,6,0,7,0,0,0,0,79,5,29,13,224,19,2,3,0,0,0,0,0,0,0,4,0,5,23
9000,2620,631,402,3,399,באר שבע,30,10,1,0,1,0,0,0,0,54,1,27,22,186,16,0,3,0,0,1,0,0,0,0,1,0,3,43
9000,9900,165,22,0,22,באר שבע,5,3,0,0,0,0,0,0,0,4,1,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9100,10,665,420,5,415,נהריה,68,8,0,1,2,0,0,2,0,88,14,15,12,149,26,4,4,0,0,0,2,0,0,0,9,0,0,11
9100,20,796,459,4,455,נהריה,79,9,5,0,2,0,0,1,0,56,3,18,38,186,17,0,8,0,0,0,0,0,0,0,15,0,4,14
9100,30,605,347,2,345,נהריה,53,6,0,0,0,0,0,0,0,35,4,9,40,144,27,0,3,1,0,0,0,0,0,0,8,0,2,13
